Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
['astronomy', 'spaceflight', 'automotive']	42.38%	42.38%	66.89%	66.89%	66.89%	66.89%	37.60%	37.60%	63.23%	63.23%	63.23%	63.23%	3492.0000	15.0000
['government']	87.66%	87.66%	93.37%	93.37%	93.37%	93.37%	N/A	N/A	N/A	N/A	N/A	N/A	49.0000	15.0000
['location', 'organization']	78.98%	78.98%	89.12%	89.12%	89.12%	89.12%	22.63%	22.63%	53.07%	53.07%	53.07%	53.07%	198.0000	15.0000
['location']	38.36%	38.36%	63.53%	63.53%	63.53%	63.53%	18.70%	18.70%	47.17%	47.17%	47.17%	47.17%	2624.0000	15.0000
['medicine']	63.59%	63.59%	80.69%	80.69%	80.69%	80.69%	47.90%	47.90%	68.99%	68.99%	68.99%	68.99%	1831.0000	15.0000
['military', 'sports']	34.10%	34.10%	60.49%	60.49%	60.49%	60.49%	14.04%	14.04%	44.49%	44.49%	44.49%	44.49%	3478.0000	15.0000
['organization']	99.94%	99.94%	99.97%	99.97%	99.97%	99.97%	81.82%	81.82%	89.17%	89.17%	89.17%	89.17%	65.0000	15.0000
[]	26.20%	26.20%	51.39%	51.39%	51.39%	51.39%	10.23%	10.23%	36.22%	36.22%	36.22%	36.22%	3596.0000	15.0000
